FIPS_Code	State_Abbrv	Rate
01001	AL	149.67
01003	AL	149.67
01005	AL	149.67
01007	AL	153.33
01009	AL	153.33
01011	AL	149.67
01013	AL	149.67
01015	AL	153.33
01017	AL	149.67
01019	AL	156.67
01021	AL	153.33
01023	AL	149.67
01025	AL	149.67
01027	AL	153.33
01029	AL	153.33
01031	AL	149.67
01033	AL	156.67
01035	AL	149.67
01037	AL	149.67
01039	AL	149.67
01041	AL	149.67
01043	AL	156.67
01045	AL	149.67
01047	AL	149.67
01049	AL	156.67
01051	AL	149.67
01053	AL	149.67
01055	AL	156.67
01057	AL	153.33
01059	AL	156.67
01061	AL	149.67
01063	AL	153.33
01065	AL	153.33
01067	AL	149.67
01069	AL	149.67
01071	AL	156.67
01073	AL	153.33
01075	AL	153.33
01077	AL	156.67
01079	AL	156.67
01081	AL	149.67
01083	AL	156.67
01085	AL	149.67
01087	AL	149.67
01089	AL	156.67
01091	AL	149.67
01093	AL	153.33
01095	AL	156.67
01097	AL	149.67
01099	AL	149.67
01101	AL	149.67
01103	AL	156.67
01105	AL	153.33
01107	AL	153.33
01109	AL	149.67
01111	AL	149.67
01113	AL	149.67
01115	AL	153.33
01117	AL	153.33
01119	AL	153.33
01121	AL	153.33
01123	AL	149.67
01125	AL	153.33
01127	AL	153.33
01129	AL	149.67
01131	AL	149.67
01133	AL	153.33
02013	AK	286.67
02016	AK	286.67
02020	AK	286.67
02050	AK	286.67
02060	AK	286.67
02068	AK	286.67
02070	AK	286.67
02090	AK	286.67
02100	AK	286.67
02105	AK	286.67
02110	AK	286.67
02122	AK	286.67
02130	AK	286.67
02150	AK	286.67
02164	AK	286.67
02170	AK	286.67
02180	AK	286.67
02185	AK	286.67
02188	AK	286.67
02195	AK	286.67
02198	AK	286.67
02220	AK	286.67
02230	AK	286.67
02240	AK	286.67
02261	AK	286.67
02275	AK	286.67
02282	AK	286.67
02290	AK	286.67
04001	AZ	174.00
04003	AZ	172.33
04005	AZ	174.00
04007	AZ	174.00
04009	AZ	172.33
04011	AZ	172.33
04012	AZ	174.00
04013	AZ	174.00
04015	AZ	174.00
04017	AZ	174.00
04019	AZ	172.33
04021	AZ	174.00
04023	AZ	172.33
04025	AZ	174.00
04027	AZ	174.00
05001	AR	152.33
05003	AR	152.33
05005	AR	156.00
05007	AR	156.00
05009	AR	156.00
05011	AR	152.33
05013	AR	152.33
05015	AR	156.00
05017	AR	152.33
05019	AR	152.33
05021	AR	152.33
05023	AR	152.33
05025	AR	152.33
05027	AR	152.33
05029	AR	152.33
05031	AR	152.33
05033	AR	165.67
05035	AR	152.33
05037	AR	152.33
05039	AR	152.33
05041	AR	152.33
05043	AR	152.33
05045	AR	152.33
05047	AR	165.67
05049	AR	152.33
05051	AR	152.33
05053	AR	152.33
05055	AR	152.33
05057	AR	152.33
05059	AR	152.33
05061	AR	152.33
05063	AR	152.33
05065	AR	152.33
05067	AR	152.33
05069	AR	152.33
05071	AR	165.67
05073	AR	152.33
05075	AR	152.33
05077	AR	152.33
05079	AR	152.33
05081	AR	152.33
05083	AR	165.67
05085	AR	152.33
05087	AR	165.67
05089	AR	156.00
05091	AR	152.33
05093	AR	152.33
05095	AR	152.33
05097	AR	152.33
05099	AR	152.33
05101	AR	165.67
05103	AR	152.33
05105	AR	152.33
05107	AR	152.33
05109	AR	152.33
05111	AR	152.33
05113	AR	152.33
05115	AR	152.33
05117	AR	152.33
05119	AR	152.33
05121	AR	152.33
05123	AR	152.33
05125	AR	152.33
05127	AR	165.67
05129	AR	152.33
05131	AR	165.67
05133	AR	152.33
05135	AR	152.33
05137	AR	152.33
05139	AR	152.33
05141	AR	152.33
05143	AR	165.67
05145	AR	152.33
05147	AR	152.33
05149	AR	152.33
06001	CA	237.67
06003	CA	184.33
06005	CA	184.33
06007	CA	182.00
06009	CA	184.33
06011	CA	217.00
06013	CA	237.67
06015	CA	182.00
06017	CA	217.00
06019	CA	192.33
06021	CA	182.00
06023	CA	182.00
06025	CA	207.00
06027	CA	192.33
06029	CA	195.33
06031	CA	192.33
06033	CA	217.00
06035	CA	182.00
06037	CA	202.67
06039	CA	192.33
06041	CA	237.67
06043	CA	192.33
06045	CA	182.00
06047	CA	188.67
06049	CA	182.00
06051	CA	192.33
06053	CA	213.33
06055	CA	237.67
06057	CA	182.00
06059	CA	202.67
06061	CA	217.00
06063	CA	182.00
06065	CA	202.67
06067	CA	217.00
06069	CA	213.33
06071	CA	202.67
06073	CA	207.00
06075	CA	237.67
06077	CA	184.33
06079	CA	203.67
06081	CA	237.67
06083	CA	208.67
06085	CA	237.67
06087	CA	237.67
06089	CA	182.00
06091	CA	182.00
06093	CA	182.00
06095	CA	237.67
06097	CA	237.67
06099	CA	188.67
06101	CA	217.00
06103	CA	182.00
06105	CA	182.00
06107	CA	192.33
06109	CA	188.67
06111	CA	208.67
06113	CA	217.00
06115	CA	217.00
08001	CO	220.33
08003	CO	184.67
08005	CO	220.33
08007	CO	184.67
08009	CO	184.67
08011	CO	184.67
08013	CO	220.33
08014	CO	220.33
08015	CO	184.67
08017	CO	184.67
08019	CO	220.33
08021	CO	184.67
08023	CO	184.67
08025	CO	184.67
08027	CO	184.67
08029	CO	220.33
08031	CO	220.33
08033	CO	184.67
08035	CO	220.33
08037	CO	220.33
08039	CO	220.33
08041	CO	184.67
08043	CO	184.67
08045	CO	220.33
08047	CO	220.33
08049	CO	220.33
08051	CO	184.67
08053	CO	220.33
08055	CO	184.67
08057	CO	200.67
08059	CO	220.33
08061	CO	184.67
08063	CO	184.67
08065	CO	220.33
08067	CO	184.67
08069	CO	200.67
08071	CO	184.67
08073	CO	184.67
08075	CO	220.33
08077	CO	220.33
08079	CO	220.33
08081	CO	220.33
08083	CO	184.67
08085	CO	184.67
08087	CO	220.33
08089	CO	184.67
08091	CO	184.67
08093	CO	220.33
08095	CO	220.33
08097	CO	220.33
08099	CO	184.67
08101	CO	184.67
08103	CO	220.33
08105	CO	184.67
08107	CO	220.33
08109	CO	184.67
08111	CO	220.33
08113	CO	184.67
08115	CO	220.33
08117	CO	220.33
08119	CO	184.67
08121	CO	220.33
08123	CO	220.33
08125	CO	220.33
09001	CT	264.33
09003	CT	264.33
09005	CT	264.33
09007	CT	264.33
09009	CT	264.33
09011	CT	264.33
09013	CT	264.33
09015	CT	264.33
10001	DE	227.00
10003	DE	227.00
10005	DE	227.00
11001	DC	220.33
12001	FL	182.67
12003	FL	197.00
12005	FL	182.67
12007	FL	197.00
12009	FL	190.00
12011	FL	177.67
12013	FL	182.67
12015	FL	181.33
12017	FL	182.67
12019	FL	197.00
12021	FL	201.00
12023	FL	197.00
12027	FL	181.33
12029	FL	182.67
12031	FL	197.00
12033	FL	182.67
12035	FL	183.67
12037	FL	182.67
12039	FL	197.00
12041	FL	182.67
12043	FL	192.33
12045	FL	182.67
12047	FL	197.00
12049	FL	172.33
12051	FL	192.33
12053	FL	185.67
12055	FL	172.33
12057	FL	185.67
12059	FL	197.00
